event_id,effect_id,as_of_date,title,variable,direction,impact,quality,confidence,scale,novelty,adjusted_effect,source_file,source_locator,source_type,source_url,rationale,review_status,review_note
S1-E10,S1-E10-TECH,2026-06-10,Europe risks falling behind in software AI compute and autonomous-driving integration,technology and integration readiness,drag,-2,1.00,1.00,1.00,1.00,-2.00,session-01/track_02_session_1_summary_draft.md,lines 10-12 and 18-20,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,Technical assets remain short of a sufficiently competitive shared deployment stack,accepted_desk_review,Commission Action Plan directly identifies the competitive gap and the need for shared software hardware and AI capability
S1-E11,S1-E11-TECH,2026-06-10,Software-led development requires deeper integration with automotive engineering,technology and integration readiness,drag,-1,1.00,0.90,1.00,0.75,-0.68,session-01/track_02_session_1_summary_draft.md,lines 34-36,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,European manufacturers need shared software digital hardware AI capability and workers with the required profiles,accepted_desk_review,Public source supports both the software integration challenge and automotive skills mismatches
S1-E12,S1-E12-FIN,2026-06-10,EU programmes provide substantial automotive R&D and innovation funding,investment procurement and business case,accelerator,1,1.00,1.00,1.00,0.75,0.75,session-01/track_02_session_1_summary_draft.md,lines 26-28,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,Commission commitments reduce early-stage development and coordination barriers,accepted_desk_review,Action Plan specifies one billion euros for the automotive sector under Horizon Europe for 2025 to 2027
S1-E13,S1-E13-FIN,2026-06-10,Europe still needs stronger private investment and market conditions for scale-up,investment procurement and business case,drag,-2,1.00,0.85,1.00,0.75,-1.28,session-01/track_02_session_1_summary_draft.md,lines 26-28,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,The Commission identifies less favourable commercial conditions and proposes measures to catalyse private investment and large-scale deployment,accepted_desk_review,Claim narrowed to the investment and market gap directly supported by the public source
S1-E14,S1-E14-PUB,2026-06-10,Autonomous mobility could improve safety accessibility and transport efficiency,public value workforce and trust,mixed,0,1.00,0.70,1.00,0.75,0.00,session-01/track_02_session_1_summary_draft.md,lines 22-24 and 42-44,primary official policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex%3A52025DC0723,The Apply AI Strategy identifies potential safety sustainability traffic-flow service and driver-shortage benefits,accepted_desk_review,Potential benefits are included as mixed evidence because observed outcomes are unavailable; the directional effect is neutral
S1-E15,S1-E15-PUB,2026-06-10,Trust workforce transition and social impacts remain deployment conditions,public value workforce and trust,drag,-1,1.00,0.90,1.00,0.75,-0.68,session-01/track_02_session_1_summary_draft.md,lines 42-44,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,The Automotive Action Plan identifies consumer trust skills mismatches employment effects and the need for social-transition measures,accepted_desk_review,Claim narrowed to the workforce and trust issues directly supported by the public source
S1-E16,S1-E16-CAP,2026-06-10,European manufacturers and suppliers account for 45 percent of global automotive R&D investment,European capability and competitiveness,accelerator,2,1.00,1.00,1.00,0.75,1.50,docs/Session One State of Play.pdf,pages 1-2,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,The industrial research base provides strategic capability on which to build,accepted_desk_review,Reworded to the quantified Commission claim and scored separately because it directly affects both technology readiness and European capability
S1-E17,S1-E17-CAP,2026-06-10,Europe risks dependencies and loss of value in software AI and digital hardware,European capability and competitiveness,drag,-2,1.00,1.00,1.00,1.00,-2.00,session-01/track_02_session_1_summary_draft.md,lines 46-48,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,European participation alone leaves critical capabilities and deployment learning exposed to external control,accepted_desk_review,Commission Action Plan directly identifies overseas competition dependency and value-capture risks
S1-E18,S1-E18-REG,2026-06-10,Eighteen Member States signed a cross-border autonomous-vehicle testbed declaration,regulation and road access,accelerator,1,1.00,1.00,0.80,1.00,0.80,docs/Session One State of Play.pdf,page 3,primary official,https://transport.ec.europa.eu/news-events/news/eu-ministers-back-cross-border-initiative-autonomous-vehicle-testbeds-2026-06-08_en,"The declaration commits participating countries to work towards common approval principles, coordinated permitting and practical cross-border deployment.",accepted_desk_review,Verified on 8 June before the baseline cutoff; the non-binding status supports a marginal effect
S1-E19,S1-E19-DEP,2026-06-10,Ambition Cities remained a planned initiative at the baseline date,deployment and scalability,mixed,0,1.00,1.00,1.00,0.75,0.00,session-01/track_02_session_1_summary_draft.md,lines 26-28,primary official policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex%3A52025DC0723,The Apply AI Strategy scheduled the initiative as a future action to accelerate operational services,accepted_desk_review,Official public source predates the baseline and confirms the initiative’s planned status; the directional effect is neutral
DRAGHI-01,DRAGHI-01-REG,2024-09-09,Road access and liability frameworks remain nationally fragmented,regulation and road access,drag,-2,1.00,1.00,1.00,0.75,-1.50,Draghi report Part B,Automotive chapter,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,"EU type approval is harmonised, while road access, liability and insurance rules remain national and fragmented.",accepted_desk_review,The finding defines the gap between the shared technical foundation and a single European operating pathway
DRAGHI-02,DRAGHI-02-DEP,2024-09-09,Automotive AI activity remains concentrated in pilots and proofs of concept,deployment and scalability,drag,-2,1.00,1.00,1.00,0.75,-1.50,Draghi report Part B,Automotive chapter,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,The report identifies limited progression from experimental activity to repeatable deployment.,accepted_desk_review,This finding anchors the distinction between pilots and European deployment scale
DRAGHI-03,DRAGHI-03-DATA,2024-09-09,Incentives for automotive data sharing remain limited,data validation and safety assurance,drag,-2,1.00,1.00,1.00,0.75,-1.50,Draghi report Part B,Automotive chapter,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,Limited data sharing constrains reusable learning and the development of AI-enabled mobility services.,accepted_desk_review,This finding informs the shared evidence-loop benchmark
DRAGHI-04,DRAGHI-04-TECH,2024-09-09,Europe combines an automotive research base with gaps in software and digital technology,technology and integration readiness,mixed,0,1.00,1.00,1.00,0.75,0.00,Draghi report Part B,Automotive chapter,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,Strong engineering assets and technology gaps create both enabling and constraining implications.,accepted_desk_review,The mixed direction records the two supported implications and carries a neutral directional effect
DRAGHI-05,DRAGHI-05-FIN,2024-09-09,Common European projects and stronger investment are needed for next-generation vehicles,investment procurement and business case,drag,-1,1.00,1.00,1.00,0.75,-0.75,Draghi report Part B,Automotive proposals,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,The report calls for coordinated projects and investment to move strategic vehicle technologies toward market scale.,accepted_desk_review,The recommendation defines the distance from a sustained European scale-up market
DRAGHI-06,DRAGHI-06-PUB,2024-09-09,Automotive transformation requires skills and workforce transition measures,public value workforce and trust,drag,-1,1.00,1.00,1.00,0.75,-0.75,Draghi report Part B,Automotive proposals,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,Skills and social transition form part of the conditions for a competitive automotive transformation.,accepted_desk_review,The finding supports assessment of workforce readiness within the public-value channel
DRAGHI-07,DRAGHI-07-CAP,2024-09-09,Europe needs to restore leadership in next-generation vehicles,European capability and competitiveness,drag,-2,1.00,1.00,1.00,0.75,-1.50,Draghi report Part B,Automotive objectives,primary official policy,https://commission.europa.eu/topics/competitiveness/draghi-report_en,The report identifies eroding competitiveness and sets leadership in next-generation vehicles as a strategic objective.,accepted_desk_review,The objective provides the target reference for competitive and sovereign autonomous mobility
